Country,Libraries,Libraries per Capita,Population,Press Score
Uganda,24,0.05784810125056748,41487965,57
Ukraine,18323,40.71357523206771,45004645,53
Uruguay,215,6.242730123002109,3444006,25
United States,9042,2.7982761096545805,323127513,21
Uzbekistan,9,0.02825905388687587,31848200,95
Vietnam,6691,7.217821579247711,92701100,85
Vanuatu,1,0.3698197498539212,270402,25
Samoa,2,1.0249839846252402,195125,29
Kosovo,1,0.05506001541680432,1816200,49
South Africa,1800,3.219525204097776,55908865,36
Zambia,9,0.05424500298046155,16591390,61
Zimbabwe,49,0.3033987721142102,16150362,74
