Country,GDP per Capita,Libraries,Libraries per Capita,Population
Nigeria,2177.98516981843,36,0.019355916813431115,185989640
Nicaragua,2151.38204656346,30,0.4878105890020176,6149928
Netherlands,45294.7799953866,177,1.0400502796736335,17018408
Norway,70812.4774226187,744,14.217658982187604,5232929
Nepal,729.532501133179,800,2.760260569977936,28982771
New Zealand,39426.6234987649,296,6.307669358791314,4692700
Oman,14982.3579235229,6,0.13560051365474574,4424762
Pakistan,1468.19294647812,400,0.20703561254767489,193203476
Panama,13680.23600692,108,2.677164456477362,4034119
Peru,6045.6500766247,820,2.5807394567587503,31773839
Philippines,2951.07192903542,1224,1.1846664440964907,103320222
Palau,13626.0056736269,2,9.301027763567875,21503
Papua New Guinea,,20,0.2473719513107683,8084991
Poland,12372.4170564311,8290,21.8456743562035,37948016
Puerto Rico,,58,1.700228094393146,3411307
Portugal,19813.3082485256,194,1.8790054172501027,10324611
Paraguay,4080.20464394436,35,0.5204222617016202,6725308
Qatar,59330.8599872525,7,0.27239431489716726,2569804
Romania,9474.13060440536,2943,14.935067472453223,19705301
Rwanda,702.835601585743,5,0.04195507987072465,11917508
Saudi Arabia,20028.6482072005,80,0.24786459231681113,32275687
Sudan,2415.03816212562,13,0.032845843742518095,39578828
Senegal,958.073737852607,26,0.1687039397690599,15411614
Singapore,52960.7141893889,23,0.4101808308943922,5607283
Solomon Islands,2005.48364332796,3,0.5004846359558172,599419
Sierra Leone,496.049463350517,1,0.013520474730908751,7396190
El Salvador,4223.58457943469,228,3.593538062030141,6344722
San Marino,,15,45.17664066500015,33203
Serbia,5348.29406421381,554,7.849903052280355,7057412
Suriname,6484.43273109527,1,0.17909335778554644,558368
Slovenia,21304.5701619503,60,2.905787117192816,2064845
Sweden,51599.868867777,2090,21.104455746379777,9903122
Swaziland,2775.15390848176,15,1.1168209616870846,1343098
Seychelles,15075.7194365696,2,2.112445472501241,94677
Turks and Caicos Islands,,1,2.865329512893983,34900
Chad,664.29565189928,42,0.2906062967603694,14452543
Togo,578.461693648613,36,0.47328727196427633,7606374
Thailand,5907.91343151532,2116,3.0727447338804112,68863514
Tajikistan,795.843864367519,1994,22.827832691906345,8734951
Timor-Leste,,2,0.15764528392309748,1268671
Trinidad and Tobago,15377.0988055665,23,1.6850285942026224,1364962
Tunisia,3688.64637468078,371,3.2534590144842945,11403248
Turkey,10787.609339044,1156,1.4538608091268652,79512426
Tanzania,879.193814026315,37,0.06658005141815419,55572201
Uganda,615.308803182525,24,0.05784810125056748,41487965
Ukraine,2185.72803066435,18323,40.71357523206771,45004645
Uruguay,15220.5660250684,215,6.242730123002109,3444006
United States,57466.7871132348,9042,2.7982761096545805,323127513
Uzbekistan,2110.64787239513,9,0.02825905388687587,31848200
British Virgin Islands,,5,16.307361142819868,30661
Vietnam,2185.69028246406,6691,7.217821579247711,92701100
Vanuatu,2860.56647483229,1,0.3698197498539212,270402
Samoa,4027.76137034554,2,1.0249839846252402,195125
Kosovo,3661.42984742258,1,0.05506001541680432,1816200
South Africa,5273.59387968462,1800,3.219525204097776,55908865
Zambia,1178.38790501204,9,0.05424500298046155,16591390
Zimbabwe,1008.59733051185,49,0.3033987721142102,16150362
