Country,Homicides,Homicides per Capita,Libraries,Libraries per Capita,Population
Portugal,124,1.2,194,1.8790054172501027,10324611
Paraguay,741,11.5,35,0.5204222617016202,6725308
Qatar,13,0.9,7,0.27239431489716726,2569804
Romania,421,2.0,2943,14.935067472453223,19705301
Rwanda,1708,17.1,5,0.04195507987072465,11917508
Saudi Arabia,265,1.0,80,0.24786459231681113,32275687
Sudan,10028,24.2,13,0.032845843742518095,39578828
Senegal,1027,8.7,26,0.1687039397690599,15411614
Singapore,16,0.3,23,0.4101808308943922,5607283
Solomon Islands,19,3.7,3,0.5004846359558172,599419
Sierra Leone,837,14.9,1,0.013520474730908751,7396190
El Salvador,4308,69.2,228,3.593538062030141,6344722
Serbia,123,1.2,554,7.849903052280355,7057412
Suriname,24,4.6,1,0.17909335778554644,558368
Slovenia,15,0.7,60,2.905787117192816,2064845
Sweden,91,1.0,2090,21.104455746379777,9903122
Swaziland,141,12.9,15,1.1168209616870846,1343098
Seychelles,7,8.3,2,2.112445472501241,94677
Turks and Caicos Islands,3,8.7,1,2.865329512893983,34900
Chad,1686,15.8,42,0.2906062967603694,14452543
Togo,627,10.9,36,0.47328727196427633,7606374
Thailand,3307,4.8,2116,3.0727447338804112,68863514
Tajikistan,143,2.1,1994,22.827832691906345,8734951
Timor-Leste,75,6.9,2,0.15764528392309748,1268671
Trinidad and Tobago,472,35.2,23,1.6850285942026224,1364962
Tunisia,117,1.1,371,3.2534590144842945,11403248
Turkey,2320,3.3,1156,1.4538608091268652,79512426
Uganda,11373,36.3,24,0.05784810125056748,41487965
Ukraine,2356,5.2,18323,40.71357523206771,45004645
Uruguay,199,5.9,215,6.242730123002109,3444006
Uzbekistan,831,3.1,9,0.02825905388687587,31848200
British Virgin Islands,2,8.6,5,16.307361142819868,30661
Vanuatu,2,0.9,1,0.3698197498539212,270402
Samoa,2,1.1,2,1.0249839846252402,195125
South Africa,15940,31.8,1800,3.219525204097776,55908865
Zambia,4710,38.0,9,0.05424500298046155,16591390
Zimbabwe,1775,14.3,49,0.3033987721142102,16150362
