Country,2001 Legal Score,2001 Political Score,2001 Economic Score,2001 Score,2001 Status,2002 Legal Score,2002 Political Score,2002 Economic Score,2002 Score,2002 Status,2003 Legal Score,2003 Political Score,2003 Economic Score,2003 Score,2003 Status,2004 Legal Score,2004 Political Score,2004 Economic Score,2004 Score,2004 Status,2005 Legal Score,2005 Political Score,2005 Economic Score,2005 Score,2005 Status,2006 Legal Score,2006 Political Score,2006 Economic Score,2006 Score,2006 Status,2007 Legal Score,2007 Political Score,2007 Economic Score,2007 Score,2007 Status,2008 Legal Score,2008 Political Score,2008 Economic Score,2008 Score,2008 Status,2009 Legal Score,2009 Political Score,2009 Economic Score,2009 Score,2009 Status,2010 Legal Score,2010 Political Score,2010 Economic Score,2010 Score,2010 Status,2011 Legal Score,2011 Political Score,2011 Economic Score,2011 Score,2011 Status,2012 Legal Score,2012 Political Score,2012 Economic Score,2012 Score,2012 Status,2013 Legal Score,2013 Political Score,2013 Economic Score,2013 Score,2013 Status,2014 Legal Score,2014 Political Score,2014 Economic Score,2014 Score,2014 Status,2015 Legal Score,2015 Political Score,2015 Economic Score,2015 Score,2015 Status
Niger,20,14,15,49,PF,21,17,15,53,PF,20,20,16,56,PF,19,18,16,53,PF,21,19,16,56,PF,21,20,17,58,PF,22,24,17,63,NF,22,25,17,64,NF,25,26,17,68,NF,21,21,17,59,PF,15,17,17,49,PF,15,18,17,50,PF,15,20,17,52,PF,15,19,17,51,PF,16,20,17,53,PF
Nigeria,15,24,18,57,PF,15,22,16,53,PF,15,23,15,53,PF,15,21,16,52,PF,15,21,18,54,PF,14,24,17,55,PF,14,22,17,53,PF,15,22,17,54,PF,15,22,17,54,PF,14,21,17,52,PF,13,22,15,50,PF,13,23,15,51,PF,14,22,15,51,PF,14,23,16,53,PF,14,22,15,51,PF
North Korea,30,36,30,96,NF,30,40,26,96,NF,30,39,29,98,NF,30,38,29,97,NF,30,38,29,97,NF,30,38,29,97,NF,30,39,29,98,NF,30,39,29,98,NF,30,40,29,99,NF,30,38,29,97,NF,30,38,29,97,NF,30,37,29,96,NF,30,38,29,97,NF,30,38,29,97,NF,30,38,29,97,NF
Norway,6,1,2,9,F,2,1,6,9,F,3,3,3,9,F,3,3,4,10,F,3,3,4,10,F,3,4,4,11,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,3,4,4,11,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,2,3,4,9,F
Oman,26,18,24,68,NF,26,25,22,73,NF,26,26,22,74,NF,25,26,21,72,NF,22,26,22,70,NF,24,28,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF
Pakistan,15,26,16,57,PF,17,25,16,58,PF,17,24,18,59,PF,18,25,18,61,NF,18,25,18,61,NF,17,28,18,63,NF,20,29,17,66,NF,19,27,16,62,NF,19,26,16,61,NF,18,27,16,61,NF,18,29,16,63,NF,19,29,16,64,NF,19,29,16,64,NF,19,30,16,65,NF,19,29,16,64,NF
Palau,,,,,,0,2,7,9,F,1,3,7,11,F,1,4,8,13,F,1,5,8,14,F,1,6,7,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,6,9,16,F,1,6,9,16,F,1,6,8,15,F,1,6,8,15,F,1,6,8,15,F
Panama,14,9,7,30,F,16,11,7,34,PF,19,17,9,45,PF,17,17,10,44,PF,17,16,10,43,PF,18,16,9,43,PF,18,17,9,44,PF,18,17,9,44,PF,17,18,9,44,PF,18,17,9,44,PF,17,19,10,46,PF,17,19,12,48,PF,17,20,13,50,PF,17,19,13,49,PF,17,18,11,46,PF
Papua New Guinea,3,6,17,26,F,3,10,12,25,F,5,11,9,25,F,4,13,12,29,F,4,13,12,29,F,4,14,12,30,F,4,13,11,28,F,4,12,10,26,F,4,10,10,24,F,4,11,10,25,F,6,11,10,27,F,6,12,10,28,F,6,13,10,29,F,6,14,9,29,F,7,13,9,29,F
Paraguay,12,23,16,51,PF,13,24,18,55,PF,15,22,17,54,PF,17,21,18,56,PF,18,20,19,57,PF,19,23,18,60,PF,19,23,18,60,PF,18,23,18,59,PF,18,23,18,59,PF,19,23,18,60,PF,18,24,18,60,PF,18,25,18,61,NF,17,24,18,59,PF,16,25,18,59,PF,15,25,18,58,PF
Peru,8,13,9,30,F,9,17,9,35,PF,10,14,10,34,PF,12,17,11,40,PF,11,17,11,39,PF,13,18,11,42,PF,15,18,11,44,PF,14,19,11,44,PF,14,19,11,44,PF,14,18,11,43,PF,14,19,11,44,PF,14,18,11,43,PF,14,18,12,44,PF,15,20,12,47,PF,15,19,12,46,PF
Philippines,3,16,11,30,F,3,17,10,30,F,6,19,9,34,PF,6,19,10,35,PF,8,21,11,40,PF,11,24,11,46,PF,11,23,11,45,PF,11,23,11,45,PF,13,24,11,48,PF,13,22,11,46,PF,12,20,10,42,PF,13,20,10,43,PF,13,21,10,44,PF,14,20,10,44,PF,14,20,10,44,PF
Poland,6,6,6,18,F,6,5,7,18,F,6,6,7,19,F,5,8,7,20,F,6,8,7,21,F,7,8,7,22,F,8,9,7,24,F,8,9,7,24,F,8,9,7,24,F,8,10,7,25,F,8,10,7,25,F,9,10,7,26,F,9,11,7,27,F,9,10,7,26,F,9,11,8,28,F
Portugal,3,5,7,15,F,5,4,6,15,F,2,5,7,14,F,2,6,6,14,F,2,6,6,14,F,2,6,6,14,F,4,6,6,16,F,4,6,6,16,F,4,6,6,16,F,5,6,6,17,F,5,6,6,17,F,5,6,6,17,F,5,7,6,18,F,5,7,6,18,F,5,7,6,18,F
Qatar,14,24,24,62,NF,16,24,21,61,NF,14,24,23,61,NF,17,23,22,62,NF,18,23,20,61,NF,18,24,21,63,NF,19,24,21,64,NF,19,24,22,65,NF,20,24,22,66,NF,20,24,22,66,NF,20,25,22,67,NF,20,25,22,67,NF,20,25,22,67,NF,21,24,22,67,NF,21,26,22,69,NF
Romania,11,14,10,35,PF,12,14,12,38,PF,13,19,15,47,PF,13,18,16,47,PF,13,16,15,44,PF,12,15,15,42,PF,13,16,15,44,PF,13,16,15,44,PF,13,15,15,43,PF,13,15,14,42,PF,12,15,14,41,PF,12,16,14,42,PF,12,15,14,41,PF,12,15,15,42,PF,9,16,13,38,PF
Russia,13,30,17,60,PF,14,30,22,66,NF,14,30,23,67,NF,14,31,23,68,NF,16,32,24,72,NF,18,33,24,75,NF,21,33,24,78,NF,23,33,24,80,NF,24,33,24,81,NF,24,33,24,81,NF,24,32,24,80,NF,25,32,24,81,NF,25,32,24,81,NF,25,34,24,83,NF,25,34,24,83,NF
Rwanda,26,37,24,87,NF,24,33,23,80,NF,24,33,25,82,NF,24,34,26,84,NF,24,35,26,85,NF,24,34,26,84,NF,24,34,26,84,NF,25,34,26,85,NF,26,33,24,83,NF,26,34,24,84,NF,26,32,24,82,NF,24,32,24,80,NF,22,33,24,79,NF,22,34,23,79,NF,23,34,22,79,NF
Saint Kitts and Nevis,4,6,8,18,F,4,7,7,18,F,2,9,10,21,F,6,8,9,23,F,4,9,8,21,F,4,8,8,20,F,4,8,7,19,F,4,8,7,19,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F
Saint Lucia,0,4,7,11,F,0,4,4,8,F,4,3,4,11,F,6,5,5,16,F,6,7,5,18,F,4,7,5,16,F,3,9,4,16,F,2,9,4,15,F,2,9,4,15,F,2,9,4,15,F,2,9,4,15,F,3,8,4,15,F,3,8,4,15,F,3,8,4,15,F,3,8,4,15,F
