Country,2001 Legal Score,2001 Political Score,2001 Economic Score,2001 Score,2001 Status,2002 Legal Score,2002 Political Score,2002 Economic Score,2002 Score,2002 Status,2003 Legal Score,2003 Political Score,2003 Economic Score,2003 Score,2003 Status,2004 Legal Score,2004 Political Score,2004 Economic Score,2004 Score,2004 Status,2005 Legal Score,2005 Political Score,2005 Economic Score,2005 Score,2005 Status,2006 Legal Score,2006 Political Score,2006 Economic Score,2006 Score,2006 Status,2007 Legal Score,2007 Political Score,2007 Economic Score,2007 Score,2007 Status,2008 Legal Score,2008 Political Score,2008 Economic Score,2008 Score,2008 Status,2009 Legal Score,2009 Political Score,2009 Economic Score,2009 Score,2009 Status,2010 Legal Score,2010 Political Score,2010 Economic Score,2010 Score,2010 Status,2011 Legal Score,2011 Political Score,2011 Economic Score,2011 Score,2011 Status,2012 Legal Score,2012 Political Score,2012 Economic Score,2012 Score,2012 Status,2013 Legal Score,2013 Political Score,2013 Economic Score,2013 Score,2013 Status,2014 Legal Score,2014 Political Score,2014 Economic Score,2014 Score,2014 Status,2015 Legal Score,2015 Political Score,2015 Economic Score,2015 Score,2015 Status
Spain,1,9,7,17,F,1,8,7,16,F,3,10,6,19,F,4,13,5,22,F,4,12,5,21,F,4,13,5,22,F,5,13,5,23,F,5,14,5,24,F,5,14,5,24,F,4,13,6,23,F,4,14,6,24,F,5,14,8,27,F,6,14,8,28,F,6,14,8,28,F,6,14,8,28,F
Sri Lanka,17,29,17,63,NF,11,27,14,52,PF,15,22,16,53,PF,15,24,17,56,PF,15,26,17,58,PF,17,29,17,63,NF,19,31,17,67,NF,21,32,17,70,NF,23,32,17,72,NF,23,30,18,71,NF,23,31,18,72,NF,23,32,19,74,NF,23,33,20,76,NF,23,33,20,76,NF,19,26,19,64,NF
Sudan,26,36,25,87,NF,26,35,23,84,NF,27,33,25,85,NF,28,33,25,86,NF,27,32,26,85,NF,27,30,24,81,NF,26,29,23,78,NF,27,29,22,78,NF,26,28,22,76,NF,26,30,22,78,NF,26,31,21,78,NF,26,32,22,80,NF,26,33,22,81,NF,26,33,22,81,NF,25,36,24,85,NF
Suriname,0,11,14,25,F,0,12,14,26,F,2,10,6,18,F,2,11,7,20,F,4,12,7,23,F,5,11,6,22,F,5,12,6,23,F,5,12,6,23,F,4,12,7,23,F,4,12,7,23,F,4,12,7,23,F,6,12,6,24,F,8,13,7,28,F,8,14,7,29,F,8,13,7,28,F
Swaziland,26,26,25,77,NF,23,26,25,74,NF,23,28,26,77,NF,25,28,26,79,NF,25,27,25,77,NF,25,26,25,76,NF,25,26,25,76,NF,25,26,25,76,NF,24,27,25,76,NF,24,27,25,76,NF,24,27,25,76,NF,24,28,25,77,NF,25,28,25,78,NF,25,28,26,79,NF,25,30,27,82,NF
Sweden,1,2,5,8,F,1,2,5,8,F,2,2,4,8,F,2,3,4,9,F,2,4,4,10,F,2,5,4,11,F,2,5,4,11,F,2,5,4,11,F,2,4,4,10,F,2,5,4,11,F,2,4,4,10,F,2,4,4,10,F,2,4,4,10,F,2,4,4,10,F,2,5,4,11,F
Switzerland,1,2,5,8,F,2,3,5,10,F,2,2,5,9,F,3,3,5,11,F,3,3,5,11,F,4,3,5,12,F,5,3,5,13,F,5,3,5,13,F,5,3,5,13,F,5,3,5,13,F,4,3,5,12,F,4,3,5,12,F,4,3,5,12,F,4,4,5,13,F,4,4,5,13,F
Syria,24,30,24,78,NF,25,33,22,80,NF,28,32,20,80,NF,29,34,20,83,NF,29,33,22,84,NF,29,33,21,83,NF,29,33,21,83,NF,29,33,21,83,NF,29,33,21,83,NF,29,34,21,84,NF,29,38,22,89,NF,29,37,22,88,NF,29,38,22,89,NF,29,38,23,90,NF,29,38,23,90,NF
Taiwan,8,6,7,21,F,9,8,7,24,F,9,7,7,23,F,8,6,7,21,F,7,7,6,20,F,7,7,6,20,F,7,7,6,20,F,7,9,7,23,F,7,9,8,24,F,7,9,9,25,F,8,9,8,25,F,9,9,8,26,F,9,9,8,26,F,9,10,8,27,F,9,9,8,26,F
Tajikistan,29,27,24,80,NF,26,26,24,76,NF,24,27,22,73,NF,24,27,23,74,NF,24,28,24,76,NF,24,28,24,76,NF,25,28,24,77,NF,25,28,25,78,NF,25,28,25,78,NF,25,28,25,78,NF,25,29,25,79,NF,25,29,25,79,NF,25,30,25,80,NF,25,32,25,82,NF,26,32,25,83,NF
Tanzania,18,18,13,49,PF,18,16,13,47,PF,18,17,15,50,PF,18,18,15,51,PF,16,19,15,50,PF,16,20,15,51,PF,15,18,15,48,PF,16,19,15,50,PF,17,18,15,50,PF,17,16,15,48,PF,18,16,15,49,PF,18,18,15,51,PF,18,22,15,55,PF,18,21,15,54,PF,18,22,15,55,PF
Thailand,10,9,11,30,F,12,12,12,36,PF,12,15,12,39,PF,13,17,12,42,PF,15,21,14,50,PF,20,25,14,59,PF,17,24,15,56,PF,16,27,14,57,PF,17,27,14,58,PF,19,28,15,62,NF,20,24,16,60,PF,21,25,16,62,NF,21,27,16,64,NF,27,31,17,75,NF,27,33,17,77,NF
Togo,28,21,19,68,NF,26,27,21,74,NF,25,32,21,78,NF,21,31,21,73,NF,23,34,21,78,NF,22,31,21,74,NF,23,29,22,74,NF,23,27,22,72,NF,24,28,22,74,NF,23,28,22,73,NF,22,26,21,69,NF,22,27,21,70,NF,20,25,20,65,NF,19,23,20,62,NF,19,21,20,60,PF
Tonga,18,12,6,36,PF,12,11,9,32,PF,16,17,11,44,PF,11,15,11,37,PF,10,11,11,32,PF,11,11,9,31,PF,11,10,10,31,PF,11,11,10,32,PF,11,11,10,32,PF,11,10,10,31,PF,10,9,10,29,F,10,9,10,29,F,10,9,10,29,F,10,9,10,29,F,10,9,10,29,F
Transkei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,4,17,9,30,F,4,11,10,25,F,6,10,9,25,F,4,11,9,24,F,6,12,8,26,F,5,11,8,24,F,6,10,7,23,F,6,10,7,23,F,6,10,7,23,F,6,11,7,24,F,6,11,8,25,F,6,12,8,26,F,6,11,8,25,F,7,12,8,27,F,7,12,8,27,F
Tunisia,26,25,22,73,NF,27,28,23,78,NF,27,30,23,80,NF,26,30,24,80,NF,28,31,24,83,NF,28,31,24,83,NF,27,30,24,81,NF,27,31,24,82,NF,27,33,25,85,NF,27,33,25,85,NF,18,17,16,51,PF,18,18,16,52,PF,18,19,16,53,PF,16,16,16,48,PF,17,18,17,52,PF
Turkey,26,23,9,58,PF,23,23,9,55,PF,18,23,11,52,PF,16,21,11,48,PF,17,20,11,48,PF,19,19,11,49,PF,20,20,11,51,PF,21,18,11,50,PF,22,18,11,51,PF,22,21,11,54,PF,22,22,11,55,PF,21,24,11,56,PF,23,26,13,62,NF,24,27,14,65,NF,26,30,15,71,NF
Turkmenistan,28,33,30,91,NF,30,33,29,92,NF,30,36,29,95,NF,30,37,29,96,NF,30,37,29,96,NF,30,37,29,96,NF,30,37,29,96,NF,30,37,29,96,NF,30,36,29,95,NF,30,37,29,96,NF,30,37,29,96,NF,30,37,29,96,NF,30,36,29,95,NF,30,36,29,95,NF,30,37,29,96,NF
Tuvalu,,,,,,0,2,14,16,F,1,6,12,19,F,1,7,12,20,F,3,11,12,26,F,3,11,12,26,F,3,11,12,26,F,3,11,12,26,F,3,11,12,26,F,3,11,12,26,F,3,11,12,26,F,3,11,12,26,F,3,11,13,27,F,3,11,13,27,F,3,11,13,27,F
Uganda,14,15,13,42,PF,15,16,14,45,PF,16,17,11,44,PF,15,17,12,44,PF,19,20,13,52,PF,20,21,13,54,PF,20,20,13,53,PF,20,20,13,53,PF,20,20,14,54,PF,19,21,14,54,PF,19,24,14,57,PF,19,22,14,55,PF,19,24,15,58,PF,19,23,14,56,PF,18,24,15,57,PF
Ukraine,23,26,11,60,PF,15,29,23,67,NF,15,29,24,68,NF,15,21,23,59,PF,13,19,21,53,PF,13,19,21,53,PF,14,19,20,53,PF,15,20,20,55,PF,15,18,20,53,PF,16,20,20,56,PF,18,21,20,59,PF,19,21,20,60,PF,19,24,20,63,NF,14,26,18,58,PF,13,24,16,53,PF
United Arab Emirates,26,23,25,74,NF,24,27,23,74,NF,27,25,23,75,NF,26,24,22,72,NF,23,22,20,65,NF,23,23,22,68,NF,23,23,22,68,NF,23,23,23,69,NF,24,24,23,71,NF,24,24,23,71,NF,24,25,23,72,NF,24,27,23,74,NF,25,28,23,76,NF,25,28,23,76,NF,25,30,23,78,NF
United Kingdom,4,7,7,18,F,6,5,7,18,F,4,8,7,19,F,5,7,6,18,F,5,7,7,19,F,5,8,6,19,F,6,7,5,18,F,6,8,5,19,F,6,8,5,19,F,6,8,5,19,F,7,9,5,21,F,7,9,5,21,F,8,10,5,23,F,9,9,6,24,F,9,9,7,25,F
United States,3,6,7,16,F,5,6,6,17,F,3,6,4,13,F,5,7,5,17,F,6,6,4,16,F,6,6,4,16,F,5,8,4,17,F,5,8,5,18,F,5,8,5,18,F,4,8,5,17,F,3,10,5,18,F,3,10,5,18,F,6,10,5,21,F,6,11,5,22,F,6,10,5,21,F
Uruguay,14,8,3,25,F,12,7,11,30,F,7,9,10,26,F,9,9,11,29,F,8,9,11,28,F,10,10,10,30,F,10,10,10,30,F,8,9,9,26,F,7,10,8,25,F,8,10,7,25,F,8,10,8,26,F,8,10,8,26,F,8,10,8,26,F,6,10,8,24,F,6,11,8,25,F
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,26,36,22,84,NF,26,36,24,86,NF,25,34,25,84,NF,26,34,25,85,NF,28,37,25,90,NF,29,37,25,91,NF,29,38,25,92,NF,29,38,26,93,NF,29,37,26,92,NF,30,37,27,94,NF,30,37,28,95,NF,30,37,28,95,NF,30,37,28,95,NF,30,37,28,95,NF,30,37,28,95,NF
Vanuatu,4,4,16,24,F,2,5,14,21,F,4,8,11,23,F,4,9,11,24,F,5,10,10,25,F,6,9,9,24,F,6,8,9,23,F,6,9,8,23,F,6,9,8,23,F,6,11,8,25,F,6,12,8,26,F,6,11,8,25,F,6,11,8,25,F,6,11,8,25,F,6,11,8,25,F
Venezuela,19,15,10,44,PF,23,29,16,68,NF,22,29,17,68,NF,24,30,18,72,NF,25,30,17,72,NF,26,30,18,74,NF,26,29,19,74,NF,26,28,19,73,NF,26,30,19,75,NF,27,29,20,76,NF,27,29,20,76,NF,27,29,20,76,NF,26,30,22,78,NF,26,31,24,81,NF,26,30,24,80,NF
Vietnam,30,30,22,82,NF,30,30,22,82,NF,28,30,24,82,NF,28,30,24,82,NF,27,29,23,79,NF,27,28,22,77,NF,27,33,22,82,NF,28,33,22,83,NF,28,32,22,82,NF,28,33,22,83,NF,28,34,22,84,NF,29,33,22,84,NF,29,33,22,84,NF,30,34,22,86,NF,30,33,22,85,NF
West Bank and Gaza Strip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,33,22,83,NF,28,34,22,84,NF,27,33,22,82,NF,27,35,22,84,NF,27,34,22,83,NF
Yemen,27,23,15,65,NF,27,24,18,69,NF,26,22,19,67,NF,28,28,20,76,NF,28,33,20,81,NF,28,31,21,80,NF,26,31,21,78,NF,26,31,22,79,NF,26,32,22,80,NF,27,33,23,83,NF,27,33,23,83,NF,25,31,23,79,NF,24,29,23,76,NF,24,31,23,78,NF,26,34,23,83,NF
"Yemen, North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,22,24,19,65,NF,20,24,19,63,NF,19,24,20,63,NF,20,25,20,65,NF,19,24,21,64,NF,19,24,21,64,NF,20,24,20,64,NF,20,25,20,65,NF,19,25,20,64,NF,19,23,19,61,NF,19,22,19,60,PF,17,24,19,60,PF,18,24,19,61,NF,18,25,19,62,NF,19,23,19,61,NF
Zimbabwe,26,34,23,83,NF,30,34,24,88,NF,30,34,25,89,NF,30,34,25,89,NF,30,35,25,90,NF,29,33,27,89,NF,29,33,27,89,NF,29,32,27,88,NF,27,30,27,84,NF,25,29,27,81,NF,25,29,26,80,NF,25,26,26,77,NF,24,25,24,73,NF,23,23,24,70,NF,24,25,25,74,NF
